Partlist exported from /Users/lohityerva/Dropbox/Eagle/Gecko/Gecko with VREG revB/Gecko.sch at 6/14/12 10:16 PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Qty Value,Device,Parts,Digi-Key (others),Discription,,,,,,,,,,
1,,LED0603,,RED?,LED1,,,,,,,,,
*,0Ohm Resistor,******,,Look at schematic,SCAP1,,,,,,,,,
4,.1uF,CAP0603-CAP,,,C10,C11,C7,C8,,,,,,
7,1K,R-US_R0603,,,R13,R20,R10,R11,R17,R28,R23,,,
1,1nF,CAP0603-CAP,,,C20,,,,,,,,,
1,4.7uF,CAP0603-CAP,,,C18,,,,,,,,,
1,4.7uH,INDUCTOR,Order from coilcraft direct ->,EPL3012-472MLB,L3,,,,,,,,,
2,10nF,CAP0603,,,C4,C21,,,,,,,,
3,10uF,CAP0805,,,C14,C16,C19,,,,,,,
1,10uH,L-USL2012C,(0805 layout),,L1,,,,,,,,,
1,47K,RESISTOR0603-RES,,,R4,,,,,,,,,
10,100K,R-US_R0603,,,R18,R2,R3,R5,R8,R9,R16,R19,R27,R22
5,100uF,C-USC1206,478-3130-1-ND,CAP TANT 100UF 6.3V 20% 1210 (low DCL),C1,C2,C5,C6,C9,,,,,
1,470,RESISTOR,,,R12,,,,,,,,,
1,562K,RESISTOR0603-RES,,,R7,,,,,,,,,
1,976K,RESISTOR0603-RES,,,R6,,,,,,,,,
1,1382S 2.2V,1382,MN1382SCPCT-ND,IC VOLT DETECT 2.0V CMOS SMD,S4,,,,,,,,,
1,BUTTON_CELL,BUTTON_CELL,3000KCT-nd,HOLDER BATTERY COIN 12MM DIA SMD,B1,,,,,,,,,
1,EPIC-CORE_A,EPIC-CORE_A,,,U1,,,,,,,,,
4,PMOS,PMOSSOT23,SI2305ADS-T1-GE3CT-ND,MOSFET P-CH 8V 5.4A SOT23-3,Q6,Q3,Q1,Q4,,,,,,
2,NMOS,MOSFET-NCHANNELSMD,568-2355-1-ND,MOSFET N-CH 30V 4.9A SOT-23,Q7,Q5,Q2,,,,,,,
1,MCP1640,MCP1640,MCP1640T-I/CHYCT-ND,IC BOOST SYNC ADJ 0.1A SOT23-6,U2,,,,,,,,,
1,PCF2127A,PCF2127A,,,U3,,,,,,,,,
1,SOLAR_CELL_MOUNT,SOLAR_CELL_MOUNT,(Dropbox Eagle part),GECKO-SOLAR-MOUNT-A,SCM1,,,,,,,,,
2,TC54VC 2.9V,1382,TC54VC2902ECB71CT-ND,IC VOLT DETECTOR 2.9V SOT23A,S1,S3,,,,,,,,
1,TC1047A,TC1047A,,,TEMP,,,,,,,,,
1,TSL237T,TSL237T,856-TSL237T,,U4,,,,,,,,,